ConflictId,Location,CumulativeIntensity,StartDate2,EpEndDate,lat,lon
1-253,Mauritania,1,12/19/1975,12/31/1978,20.258995,-10.3644371
1-254,DR Congo (Zaire),0,2/1/2007,3/31/2008,-2.8798661,23.65637779
1-255,Niger,0,12/31/1991,12/18/1992,17.424074,9.400633812
1-255,Niger,0,10/19/1997,11/28/1997,17.424074,9.400633812
1-255,Niger,0,4/30/2007,11/16/2008,17.424074,9.400633812
1-256,"Afghanistan, Russia (Soviet Union)",0,12/27/1979,12/28/1979,33.833248,66.02528381
1-257,Russia (Soviet Union),0,11/28/2007,NULL,63.125187,103.7539825
1-257,Russia (Soviet Union),1,11/28/2007,NULL,63.125187,103.7539825
1-259,India,0,11/9/2008,12/31/2008,23.406012,79.45809174
1-26,Myanmar (Burma),0,2/28/1949,12/31/1963,20.330143,96.52182007
1-26,Myanmar (Burma),0,2/13/1990,3/22/1990,20.330143,96.52182007
1-26,Myanmar (Burma),0,12/23/1996,12/23/1996,20.330143,96.52182007
1-260,"Djibouti, Eritrea",0,6/11/2008,6/11/2008,11.742592,42.63182831
1-261,Ethiopia,0,12/31/1977,12/31/1980,8.6267033,39.63755417
1-262,Ethiopia,0,3/31/1983,12/31/1983,8.6267033,39.63755417
1-263,India,0,5/12/1997,12/5/1997,23.406012,79.45809174
1-264,Myanmar (Burma),0,8/29/2009,8/29/2009,20.330143,96.52182007
1-265,Myanmar (Burma),0,2/28/1973,12/31/1982,20.330143,96.52182007
1-267,Mauritania,0,9/18/2010,10/20/2011,20.258995,-10.3644371
1-268,Ethiopia,0,10/10/1991,10/10/1991,8.6267033,39.63755417
1-269,Sudan,0,5/19/2011,6/15/2011,16.085785,30.0873909
1-27,Costa Rica,1,3/3/1948,4/20/1948,9.8849916,-84.2272339
1-270,South Sudan,0,8/20/2011,NULL,7.3038583,30.28075218
1-270,South Sudan,1,8/20/2011,NULL,7.3038583,30.28075218
1-271,Libya,1,3/4/2011,11/23/2011,27.236097,18.04355621
1-272,India,0,11/15/2012,12/21/2012,23.406012,79.45809174
1-273,China,0,8/10/2008,8/29/2008,36.553085,103.9754333
1-274,Mali,0,6/16/2009,7/16/2009,17.357767,-3.5273819
1-274,Mali,0,1/24/2012,NULL,17.357767,-3.5273819
1-274,Mali,1,1/24/2012,NULL,17.357767,-3.5273819
1-275,Bangladesh,0,3/13/2005,12/22/2006,23.730104,90.30652618
1-276,"South Sudan, Sudan",0,3/27/2012,12/26/2012,7.3038583,30.28075218
1-277,Myanmar (Burma),0,2/28/2000,5/18/2001,20.330143,96.52182007
1-277,Myanmar (Burma),0,1/31/2005,2/15/2007,20.330143,96.52182007
1-278,Malaysia,0,3/2/2013,NULL,2.5490005,102.962616
1-28,"Hyderabadh, India",1,9/13/1948,9/18/1948,17.411409,78.48477936
1-29,India,1,9/18/1948,12/31/1951,23.406012,79.45809174
1-29,India,1,12/31/1969,12/31/1971,23.406012,79.45809174
1-29,India,1,12/31/1990,12/31/1994,23.406012,79.45809174
1-29,India,1,4/3/1996,NULL,23.406012,79.45809174
1-3,China,1,12/31/1946,12/8/1949,36.553085,103.9754333
